
name,country_code
"The Mannik & Smith Group, Inc.",US
Promotion Santé La Réunion,RE
UV Energy,DE
ADA,"SG,MY"
Cleared,US
Worcester Investments,US
PeriWrap,US
Kiến Trúc Nam Cường,VN
John Carroll University,US
Decode Media,FR
Root2tip Eco,GB
Verwey-Jonker Instituut,NL
Frontrow Factory,NL
Disqover Agency,UA
Women in Mechanical Engineering at Purdue University (WiME),US
WAYAP S.r.l.,IT
Mplus,HR
Unimed Costa Oeste,BR
Civcon Civil and Project Management,AU
Abtran,IE
Delticom AG,DE
myWebRoom,US
Bonnen Battery (Bonnen New Energy),CN
Basetime BV,NL
Krunch,"HK,US"
QUODD,US
WXYZ-TV,US
SOHOJO,US
Capte,"NL,FR,US"
corporate momentum GmbH,DE
Vietnam MarTech,VN
Nepal Mother House Treks,NP
Swiss Premium Doctors AG,CH
Prosper-Tech Machine & Tool LLC,US
Piantando,IT
Gateley Capitus,GB
Revocalize AI,US
ONECORE,AU
eWibe,IT
EstimateOne,AU
C&S The Label,NL
Sego Automobile Solutions,IN
عبدالمجيد بن محمد الشثري للمحاماة والاستشارات | Abdulmajeed M Alshathri for attorney & consultancy,SA
Teknova,US
NOSEPICK,AR
California Fuels & Lubricants,US
DV8 Digital Marketing,JO
OVIRON PRODUCTS PVT. LTD.,IN
International Market Access Ltd.,"HK,CN"
bettermarks GmbH,DE
Grupo Nueva Economía,BO
New Orleans Business Alliance,US
Sympla,BR
Colortreat,DE
Craft Coffee Roasters,PL
Coometas (Encantado de Comerte App),ES
ATCO,"CA,US,MX,AU,CL"
Darwin Gray LLP,GB
Notesgen,IN
"WE Hub, A Government of Telangana Initiative",IN
Geerlofs Refrigeration B.V.,"NL,KE,ET,SG"
Farmers Fresh Zone,IN
Grupo Stima,"ZW,ES"
Joola,US
Gatsby (A Netlify Company),US
NAV,NO
ID Theory,VG
ACNE,"SE,GB,DE,IT,IE,PT"
mdf commerce,CA
360Cities,CZ
MS Project Pros,US
Waste4Change,ID
Bloxo,CA
Access Staffing,US
Stack Studio,"AU,CN"
Morman Car,IT
Bean Stuff,US
Proyectum Training Center Costa Rica,CR
UnitySC,FR
SEMPA,FR
Suvo Strategic Minerals (ASX: SUV),AU
Hoytrabajas (YC W22),CO
Hillstone Networks,US
GI VITA,KR
Tabarin Consulting,KE
INSTRAT360,DK
"Eichelberger Law Firm, PLLC",US
APi Group,US
"Links - portage salarial, réseau de consultants experts, outsourcing",FR
Bookshop.org,US
Litegreen Ltd,GB
CHATEAU DE LA TOURLANDRY,FR
The Game Day,US
Goldfinch Bio,US
Moblico,US
Veracity Protocol,US
OMSAKTHI-A-OVERSEAS,IN
Bynder,"NL,US,GB,ES,AU,AE"
PlaniSense,FR
Calvary Baptist Church,US
Ascentis a UKG Company,US
BlueWorks - Ophthalmic Imaging Management Solutions,"PT,GB"
SatRev,PL
B.U.T. Executive Services GmbH,CH
MYZ Co,TR
Singapore Commercial Space,SG
ConTe.it - Admiral Group,IT
RAMY SOFT,EG
Arhaus,US
BIOAZUL,ES
INSUCE,MX
SmartAdvocate LLC,US
Dar SAS Security Services,SA
ReadyTech Workforce Solutions,AU
My Travel Mate,FR
APPROVE,US
Verloop.io,"IN,AE,US,SG"
Momentum Digital Solutions,"CA,US"
Rainbow International Restoration of Conway Arkansas,US
Electriphi Inc,US
AlveoliX,CH
Partners4Results,US
Boston Chinatown Neighborhood Center,US
Elea Digital Data Centers,BR
Tradition Mortgage,US
Fundraising UK Ltd,GB
AMA DETERGENT,MA
Illuminet,"GB,US"
CPR System s.c.,IT
note,JP
Easy Gold Crowns,US
TAMID at Penn State,US
FromVedas ™️,IN
Gaurs Group,IN
Kiwe,EG
Memento Payments,IS
BRONCORP,DZ
Juniper Guitars,"MA,US"
zeb Nordics,"SE,NO"
Blue Tokai Coffee Roasters,IN
Costa Rica Film Commission,CR
SAM Engineering (Pty) Ltd,ZA
Asian Agri,ID
Planetum - Hvězdárna a planetárium hl. města Prahy,CZ
neonVest,US
Agile Experts,AT
Slovenská sporiteľňa,SK
Gruppo Mastrotto,IT
Hackbright Academy,US
GroceryList,US
PExA AB,SE
Debbal Softwares,ET
Intervideo Srl,IT
TKOUTPTY,
UiB System Dynamics MINDS,NO
Tour2.0,ZA
Sandersons,GB
Trifolium International Ltd.,HU
Executarial,
ViNotion B.V.,NL
ApiTerra CH,"CH,IT"
First Insight Corporation,US
AssetOne,"US,IN"
Privalia,"BR,ES"
8BTC,CN
Verticis Web Studio,BR
MoolahSense,SG
BMC MARİNE MÜHENDİSLİK LTD. ŞTİ.,TR
MiriSys POLSKA Cutting Systems,PL
Waaree Technologies,IN
"Mahratta Chamber of Commerce, Industries and Agriculture, Pune",IN
Minova Technology,TR
Cloudvirga,US
The Artment,IN
Kiely Family of Companies,US
Metropolitan Adv Agenzia di Comunicazione,IT
AMP Global Clearing (USA),US
ChurchTools Innovations GmbH,DE
ECSC | A Daisy Company,"GB,AU"
Social Value UK,GB
Recruiting Hive,CA
Fabric8Labs,US
Instalent,HU
BioFilm Control,FR
Aboshanab & Partners,"GB,US,EG"
AgenKAN │ PinjamKAN,ID
iPOCUS - powered by SonoForKlinik,DE
Blueprint Medicines,"US,CH"
Recordent,IN
CREWhunter,AU
Fair Food Network,US
REIVAS,US
The Greater Fort Lauderdale Alliance,US
Kopuz Turizm,TR
INNZPIRA,"US,ES,CL"
KAEFER in APAC,"MY,VN,TH"
ProFi Fitness School,IE
Swagelok Northwest (US),US
Lightower Fiber Networks,US
Yayy,"AE,LB"
GetSetHome.com,IN
YourD,KR
MI Agency,DZ
"nanoTherics, Ltd",GB
Wellbe Inc. | Guided Patient Journeys for Better Access and Navigation,US
P1.com,CN
Petriotics,LB
Deft,US
Staffbus,NG
Remote Lands,"US,TH"
media promotion srl,IT
Culturae,"US,BR"
Inspire Medical Systems,US
Frank Salt Real Estate Ltd,MT
SystemOnSilicon,US
Adapt Software India (P) Limited,IN
Voicepanel,"CA,US"
Operam,GB
Student Hours Pte. Ltd.,"BD,SA,SG"
Womp,US
Gyde,IN
Colbits,CO
Cocoom by Noiise,FR
"AppGuard, Inc., a Blue Planet-works company",US
"Celtic Chicago, Inc.",US
Mylette,NL
IBERASTUR INGENIERÍA | ITURCEMI GRUPO,ES
"NAVEOS®, an R1 company",US
PriceSmart,"US,AW,BB,CO,CR,GT,HN,NI,SV,DO,JM,PA,TT,VI"
Quick Algorithm,IT
Grande Civil,US
JBI Training,GB
Develor Azerbaijan,AZ
Conical Pharmaceuticals,IN
Lime Energy,US
Apimab Laboratoires,FR
SOC MONSOTI,FR
Edutechment 🇨🇭| ETM CRM 🇺🇦 | ETM Global 🌎,"CH,UA"
SIME,IT
Ameyo,"IN,PH"
MPDI Media,US
Real Support BV,NL
Agencia de Marketing Digital BeOffOn,ES
Wordplay Content,IN
Distinctive Chesterfields,GB
Brick Scholars,US
Exclaimer,"GB,US,NL"
Oneconsult,"CH,DE,NZ"
UKC (Uruhimbi Kageyo Cooperative),RW
Scott Pallets,GB
Jiangsu DADAU Blow Molding Machine,CN
"MySalus, soluciones para ti y tu bebé.",ES
eTutor dla firm,PL
RoboticPlus.AI (大界机器人）,CN
GoodMood,"PL,GB"
CG Oncology,US
Le Cèdre Rouge,FR
Indeeco,US
Storyedge Marketing AB,SE
Copper China,CN
Revenu Pierre,FR
LS Materials,KR
Econo-Pak,US
Tanárhub,HU
DOMINE WIRE MESH,CN
LYRIA.IO,US
SPREAD,FR
IndiaLends,IN
Telkom Kenya,KE
WPC Advisory,AU
ASTON-SEM,FR
MDHealth,BR
Brainwhere,CH
Hello Sayarwon,MM
CloseUpCity,US
MaterialsXchange,US
PI (Physik Instrumente) Group,"DE,NL,GB,FR,IT,US,CN,SG,TW,JP,KR"
Formula Consulting Inc.,CA
Quick Change Mould,NL
Physiomobile,MY
Johns Hopkins University Advanced Academic Programs,US
Ikabit Inc.,US
12d Solutions Pty Ltd,AU
Bas Kommunikasjon,NO
Wora,IT
Gray,"US,JP,CA,CH,IE"
Phoenix Endeavors,US
VALEGE,FR
PSC Support,GB
Resource Professional,EG
DRVR,"TH,HK,AU"
Iberion,PL
Nordic Sense,DK
The Co-operative Bank plc,GB
Kreega,FR
KU Leuven Ghent Campus,BE
To the Point Collaborative,US
Langly Inc.,US
Regen Physio,GB
Paket Mutfak,TR
TJLABS,KR
SuperSeton,NL
danishknowhow®,"DK,MZ"
Laminar Pharma,"ES,US"
"PlexKey Promotional Marketing Group, LLC",US
EIRE ARGENTINA,AR
Liquid Avatar Technologies,CA
HIMARK Sanitary,CN
CIO Tech Talk,US
"Precise Telehealth, Inc.",US
WSA Solutions,CA
"Cellumed Co., Ltd",KR
Waste Marketplace,FR
Eagle HealthPlans,US
Banelec Ltd,GB
WINTERSTEIGER Group,AT
Gobble,US
Light Design Exporlux,BR
Collectif des Juristes Amienois,FR
RadicalStart,IN
Supplink,MX
Exasol,"DE,US,GB"
HOOLOOVOO,RS
Origin Protocol,US
CHB Sistemas,BR
gefarAcademy,IT
Sobinco,BE
"Lighthouse Marketing Services, Inc.",US
All for One Switzerland AG,CH
Arkansas Department of Education,US
Weiss Residential Research LLC,US
Advenias Care,IT
ResDiary,GB
Smart Immune,FR
V-Locker AG,CH
Moz,CA
"Tailored Brands, Inc.",US
FRONTMAN®,US
Whiteboard CRM,US
Chrysalis Spectrum LLC,US
MINAGRO - Maximize Your Impact,BE
The Dayhuff Group,US
Ergonomics AG,CH
Halliburton,"US,RU,CO,SG"
ComSchool International,BR
iPMC GmbH,DE
DevX,IN
TRILLIONWAY PRODUCTIONS,GB
ANVA,NL
AROSE,AU
Vincent Helton & Associates Inc.,CA
Spazio Promozionale,IT
CONO Kaasmakers,NL
Dress the Change,IT
Profile Learning Technologies Ltd,GB
DollarGeek,US
Esri India,IN
Contrast,FR
"HealthPocket, Inc.",US
Precise Tooling Solutions,US
arCenik office - amenagement bureau Paris Bordeaux Lyon,FR
Nearside (Acquired by Plastiq),US
Dollar For,US
Vintage Realty Company,US
ZINBIG IT,"AR,CA"
FinTech Intel,GB
Magazynuj.to,PL
Reos Partners,"CH,CA,US,BR,ZA,GB,AU"
Personal Best Fitness & Lifestyle Consulting Inc.,CA
Til You Collapse,US
Arizona Department of Health Services,US
Writing.io,US
Fairland Group Limited,CN
UCS - University of Caxias do Sul,BR
EventCHI,NL
CHRU de Nancy,FR
Mohibul | Pinterest Marketing Manager,BD
Efuture S.r.l.,IT
Hip Pocket (Acquired by HT Mobile Apps),US
SME Strategy Consulting,CA
Finite Carbon,"US,CA"
ITAnimo Technology,"IN,BW,ZA"
Harper Harrison,"US,GB"
"TEKSER Technical Ceramics, Inc.",TR
Industrial Software,RO
Atlas ( ai safety for esg data),HK
ApoGlyx,SE
Mocento Sdn Bhd (Atap.co),MY
R.J. Harris Construction,US
PharmaEssentia,"TW,US,JP,CN"
FEEduc - Study in Spain,ES
NOVATTIA,ES
Expander Polska,PL
HR Alert,BE
Visit Congo Ltd,CD
Monarx,US
PSR Solicitors Ltd - Specialist Solicitors,GB
Profluo,RO
Kahiau Pacific,US
J.A. King,US
"EZ3D Technologies, Inc.",
Work With Sian,GB
Borderline Personality Disorder Society of British Columbia,CA
eCommodities Inc.,US
HeroSpark,BR
OPĀQ,US
Morpheus Creations,CA
Pelikan Printing,DE
Leonberg Reklamebyrå AS,NO
REC®Academy GmbH & Co. KG,DE
"Synergy Environmental Lab, LLC",US
Quest for Life Foundation,AU
Mavent,US
JONTI Telemarketing,GB
Compliance Factory,"NL,BE,GB,DE"
PFLAG National,US
Emjoy,ES
Kana Labs,GB
Al Taef Star Transport,AE
Urban League of Eastern MA,US
AgroFórum.pe,PE
"WilliamArchi Building Material Co., Ltd.",CN
Stratumn,FR
LYJ-Hightech Inc.,CA
Designed To Talk,GB
4Care GmbH,DE
Wyplay,"FR,TN"
UltraBLŪ,"CA,US"
DSTHERM® INDUSTRIAL,CN
Magis5,BR
Asendium,AU
Dexian,NL
Smith Stone Walters Ltd,"GB,HK,US,IN"
Viva,CO
Verengo Solar,US
RESTAURANT MANAGEMENT SOLUTIONS LLC,US
Teamory,"GB,US,AE"
Arogga,BD
Solwena,PL
Mobilités Demain,FR
38DigitalMarket,US
N2F - Expense report,FR
Good Guys Bakehouse,GB
Trik Agency,NG
Corelmould,CN
Offshore Indusrtie Job Offers,AU
Lano,DE
Thundermist Health Center,US
Shook Construction,US
Encompass Health,US
instacar,GR
FCDigitall (Finest Copy - Digital Marketing Solutions),BG
RxSpark,US
TradeWindow,"NZ,SG,AU"
Aspire Power Solutions,NG
ABCD Nutrition,FR
"Pipeline Co., Ltd.","JP,SG,BD"
Saffron Tech Pvt Ltd,IN
Aviation Australia,AU
SoloAsteroid Designs,US
코인원 Coinone,KR
bonapp.eco,RO
Saraii Village,LK
Avital Food & Drink Experiences,US
"Quivive-app, application contre le harcèlement 📲",FR
FNA,"GB,ES,US,HK"
Gall Solicitors,HK
Operon Biotech and Healthcare,IN
OMNI Consulting Solutions,US
EOLTECH,FR
BlueFinity International,"US,GB"
5QLive,SG
Indio Gurú,CO
Fact.MR,"US,IE,AE"
Panalyt,JP
Xcode Life,US
Enhanzer,LK
Sideros Engineering,"IT,US,DE"
Advanced Protection Systems Inc.,PL
Synapse Business Consulting,BR
Advisoryman,IN
Professional Basketball Writers Association,US
Pi Squared Inc.,US
Melius Outcomes,US
Plastic-IT Ltd,GB
The Wrong Biennale,ES
Pocketly,IN
Insight Powered,US
ECRA srl,IT
MF Marketing,DK
Kanteron Systems,"ES,US,GB"
AMMC is now Motion Ai Great Lakes Region,"US,IN"
Claudia Otten Photography,NL
nome agency,UA
Office Services by GB,US
"Leading Resources, Inc.",US
Elite Merchant Services,GB
duLocal,BR
Infin8y Inc.,"US,GB,FI,ES"
Contract Packaging Systems Pty Ltd,AU
BMJ Metal,CN
VALERZA,AR
"Local Citation, Citation Cleanup and Link Building Experts - Local SEO",BD
TheLancer,"IN,AE,CA,US,AU"
miscusi,IT
Sasken Technologies Limited,"IN,JP,US,GB,DE,FI"
TrekkSoft,"ES,CH"
BeCause,DK
"Veloxis Pharmaceuticals, Inc.",US
booksalon,FI
ThinkMetal,IN
Diversely + The D&Igest Podcast (an Access Company),GB
Prestart Early Success Program For Teenagers,IN
Sol og Strand,DK
Corflex,US
Dr. U Hair & Skin Clinic,US
inFORM Decisions,US
SVC Finance School,PE
"Manufacturing Techniques, Inc. (MTEQ)",US
PWD Care Australia - NDIS PROVIDER,AU
Medi-Call,ID
HeroHub,CA
OKADA PARIS,FR
ISCG International Security Consulting Group,US
V-Trion GmbH,AT
Green Touch Technologies,JO
Berkeley Lights,US
Embitel Technologies,"IN,GB,DE,US,AE"
SEKO Benelux,NL
"FIGmd, Inc.","US,IN"
Raccourci Agency,FR
ABI-Mat,NL
BehinRahkar Group. بهین راهکار,IR
Tommies Childcare,GB
Revolv Inc (Acquired by Nest Labs),US
PERI USA,US
SureUp.com EngageTech Platform,US
IDASANET,ES
Geostick B.V.,NL
CyanView,BE
Bikekey,DK
Rapid Spray,AU
Medivir AB,SE
eBest Australia,AU
Adfactors PR,"IN,AE,MY,LK"
Humanify,IN
bobomed.care,PL
ICMA - International City/County Management Association,US
GloDea ®,US
Dunlop Protective Footwear,"NL,PT,US"
Emergo Entertainment GmbH,DE
Social Music Awards,
ggCircuit,US
IComm,AU
Hammond's Candies,US
WOCKEN Industriepartner,DE
REDEF,US
Biomedix,US
Ninova Bilişim Ltd. Şti.,TR
SISTEMAS EXPERTOS EC,EC
FRAGMA,IM
Grupo Orlegi,"MX,ES"
ChannelPro,AE
Fastcash,"BR,US"
Dona Rosa,PT
QuoteRUSH,US
VSL Middle East,"AE,SA,QA,KW,OM,BH"
Oodrive,FR
"CARITAS (Richmond, VA)",US
LINE Hydrogen (Australia) Pty Ltd,AU
Prairie Rivers Network,US
Copenhagen Business Academy,DK
SmartHint,BR
Kickmaker,"FR,CN,US"
Credit Hive Technologies Private Limited,IN
Impero Techne Limited,NG
"TJE Communications, LLC",US
CA Technologies,US
GoLiving,DE
Global Community Resourcing,AU
BIZAY,
Sodebo,FR
Glenribbeen Eco Lodge - eco-accommodation,IE
EC Konsult AB,SE
Neex Creatividad Digital,MX
Egyptian Tax Society جمعية الضرائب المصرية,EG
Michigan First Credit Union,US
Qida (home-care),ES
UrbanChain Group,"HK,GB,US,JP,SG"
Castle Industrial Supplies Ltd,GB
Serpresur Servicio de Prevención de Riesgos Laborales,ES
PREMIUM-NETZ,DE
Park Place Payments,US
SafetyTek Software,CA
Biocellvia,FR
"Gencurix, Inc.",KR
"Fleet Defender, Inc.",US
ACCUPASS,"TW,HK"
Saylent,US
Gunneman Group,NL
ACS Engineers (Aust) Pty Ltd,AU
"FogHorn Systems, Inc",IE
dbagency.cc,"DE,BR"
Leader Healthcare,"AE,SA,QA,KW,IN,AU,CA"
Digital Service,BD
Artur Pokorny,AT
Waves4Power AB,SE
Red Wolf Technology,US
"JIREH - Assessoria Jurídica, Mobiliária, Imobiliária e afins",BR
Futura Tintas,BR
Medoma,SE
Poppin,US
AllUnite,"DK,IT,UA,AU,BR"
Frontmatec,"DK,GB,DE,ES,CN,NL,US,CA,RU,RO"
Lunnie,US
Sweatshop.ie,IE
ILANDER TECHNOLOGIES PRIVATE LIMITED,IN
Destination S.r.l.,"BL,IT"
RS Consulting,IN
Remote Recruiting Solutions,"CR,MX"
CyberMedia Research,IN
O'Hara Corporation,US
Cronosolv Games,US
Helvetas,CH
"Faithward Advisors, LLC",US
Ambire Società Benefit,IT
VSPARTICLE,NL
La Place Paris,FR
Mazzuma,GH
bronID,AU
Centric Health,IE
Titus Marine Technologies,US
Attolo Infotech,IN
Chicago Detours,US
TIAG®,US
New Chapter Executive Search GmbH,"DE,AT"
Vendeur Agenceur,FR
Agrahyah,IN
NeuronUP,ES
E-VAI - FNM Group,IT
CRA Solutions,US
Nexus A.I.,US
RECYLINK.com,CL
Optomni,AU
Binzagr Company,SA
Prinker,KR
D. Art Sign Gallery Advertising,PH
TRAD UK,GB
Form.io,US
GSI Helmholtz Centre for Heavy Ion Research,DE
Deacon Giles Distillery,US
Robertson Group,GB
Innok Robotics,DE
BitBoss,IT
"Vallen, formerly Wesco Integrated Supply",US
CORAL STUDIO SA,CH
Imagine Lithium Inc.,CA
WOMEN IN TECH ® Global,"FR,RU,BH,PT,AU,MK,BR,GB,ZM,PE,CA,ZA"
Sedus,DE
business playgrounds,DE
"Shenzhen Newunite Electronic Co., Ltd",CN
Whitech,EG
Kona Salt Farm by Sea Salts of Hawaii,US
Agres,BR
Caraway,US
Screaming Frog,GB
GoInformatics,US
Myndr,NL
Kunstinstituut Melly,NL
Midland Primary Care,US
Zuaya Latin American Restaurant,GB
Intérim Nation,FR
Prosper Education™,"AU,GB"
Córdoba Custom Service,AR
NOXMAN,ES
The Cipher Brief,US
MedsZoo,IN
Proparco,FR
JoyLet,US
