
mcc,channel
3606,card_present
3607,card_present
3608,card_present
3609,card_present
3610,card_present
3611,card_present
3612,card_present
3613,card_present
3614,card_present
3615,card_present
3616,card_present
3617,card_present
3618,card_present
3619,card_present
3620,card_present
3621,card_present
3622,card_present
3623,card_present
3624,card_present
3625,card_present
3626,card_present
3627,card_present
3628,card_present
3629,card_present
3630,card_present
3631,card_present
3632,card_present
3633,card_present
3634,card_present
3635,card_present
3636,card_present
3637,card_present
3638,card_present
3639,card_present
3640,card_present
3641,card_present
3642,card_present
3643,card_present
3644,card_present
3645,card_present
3646,card_present
3647,card_present
3648,card_present
3649,card_present
3650,card_present
3651,card_present
3652,card_present
3653,card_present
3654,card_present
3655,card_present
3656,card_present
3657,card_present
3658,card_present
3659,card_present
3660,card_present
3661,card_present
3662,card_present
3663,card_present
3664,card_present
3665,card_present
3666,card_present
3667,card_present
3668,card_present
3669,card_present
3670,card_present
3671,card_present
3672,card_present
3673,card_present
3674,card_present
3675,card_present
3676,card_present
3677,card_present
3678,card_present
3679,card_present
3680,card_present
3681,card_present
3682,card_present
3683,card_present
3684,card_present
3685,card_present
3686,card_present
3687,card_present
3688,card_present
3689,card_present
3690,card_present
3691,card_present
3692,card_present
3693,card_present
3694,card_present
3695,card_present
3696,card_present
3697,card_present
3698,card_present
3699,card_present
3700,card_present
3701,card_present
3702,card_present
3703,card_present
3704,card_present
3705,card_present
3706,card_present
3707,card_present
3708,card_present
3709,card_present
3710,card_present
3711,card_present
3712,card_present
3713,card_present
3714,card_present
3715,card_present
3716,card_present
3717,card_present
3718,card_present
3719,card_present
3720,card_present
3721,card_present
3722,card_present
3723,card_present
3724,card_present
3725,card_present
3726,card_present
3727,card_present
3728,card_present
3729,card_present
3730,card_present
3731,card_present
3732,card_present
3733,card_present
3734,card_present
3735,card_present
3736,card_present
3737,card_present
3738,card_present
3739,card_present
3740,card_present
3741,card_present
3742,card_present
3743,card_present
3744,card_present
3745,card_present
3746,card_present
3747,card_present
3748,card_present
3749,card_present
3750,card_present
3751,card_present
3752,card_present
3753,card_present
3754,card_present
3755,card_present
3756,card_present
3757,card_present
3758,card_present
3759,card_present
3760,card_present
3761,card_present
3762,card_present
3763,card_present
3764,card_present
3765,card_present
3766,card_present
3767,card_present
3768,card_present
3769,card_present
3770,card_present
3771,card_present
3772,card_present
3773,card_present
3774,card_present
3775,card_present
3776,card_present
3777,card_present
3778,card_present
3779,card_present
3780,card_present
3781,card_present
3782,card_present
3783,card_present
3784,card_present
3785,card_present
3786,card_present
3787,card_present
3788,card_present
3789,card_present
3790,card_present
3816,card_present
3835,card_present
4011,card_present
4111,card_present
4112,card_present
4119,card_present
4121,card_present
4131,card_present
4214,card_present
4215,card_present
4225,card_present
4411,card_present
4457,card_present
4468,card_present
4511,card_present
4582,card_present
4722,card_present
4723,card_present
4784,card_present
4789,card_present
4812,card_present
4814,card_present
4815,card_present
4816,card_present
4821,card_present
4829,card_present
4899,card_present
4900,card_present
5013,card_present
5021,card_present
5039,card_present
5044,card_present
5045,card_present
5046,card_present
5047,card_present
5051,card_present
5065,card_present
5072,card_present
5074,card_present
5085,card_present
5094,card_present
5099,card_present
5111,card_present
5122,card_present
5131,card_present
5137,card_present
5139,card_present
5169,card_present
5172,card_present
5192,card_present
5193,card_present
5198,card_present
5199,card_present
5200,card_present
5211,card_present
5231,card_present
5251,card_present
5261,card_present
5271,card_present
5300,card_present
5309,card_present
5310,card_present
5311,card_present
5331,card_present
5399,card_present
5411,card_present
5422,card_present
5441,card_present
5451,card_present
5462,card_present
5499,card_present
5511,card_present
5521,card_present
5531,card_present
5532,card_present
5533,card_present
5541,card_present
5542,card_present
5551,card_present
5561,card_present
5571,card_present
5592,card_present
5598,card_present
5599,card_present
5611,card_present
5621,card_present
5631,card_present
5641,card_present
5651,card_present
5655,card_present
5661,card_present
5681,card_present
5691,card_present
5697,card_present
5698,card_present
5699,card_present
5712,card_present
5713,card_present
5714,card_present
5718,card_present
5719,card_present
5722,card_present
5732,card_present
5733,card_present
5734,card_present
5735,card_present
5811,card_present
5812,card_present
5813,card_present
5814,card_present
5815,card_present
5816,card_present
5817,card_present
5818,card_present
5832,card_present
5912,card_present
5921,card_present
5931,card_present
5932,card_present
5933,card_present
5935,card_present
5937,card_present
5940,card_present
5941,card_present
5942,card_present
5943,card_present
5944,card_present
5945,card_present
5946,card_present
5947,card_present
5948,card_present
5949,card_present
5950,card_present
5960,card_present
5961,card_present
5962,card_present
5963,card_present
5964,card_present
5965,card_present
5966,card_present
5967,card_present
5968,card_present
5969,card_present
5970,card_present
5971,card_present
5972,card_present
5973,card_present
5975,card_present
5976,card_present
5977,card_present
5978,card_present
5983,card_present
5992,card_present
5993,card_present
5994,card_present
5995,card_present
5996,card_present
5997,card_present
5998,card_present
5999,card_present
6010,card_present
6011,card_present
6012,card_present
6051,card_present
6211,card_present
6300,card_present
6381,card_present
6399,card_present
6513,card_present
7011,card_present
7012,card_present
7032,card_present
7033,card_present
7210,card_present
7211,card_present
7216,card_present
7217,card_present
7221,card_present
7230,card_present
7251,card_present
7261,card_present
7273,card_present
7276,card_present
7277,card_present
7278,card_present
7296,card_present
7297,card_present
7298,card_present
7299,card_present
7311,card_present
7321,card_present
7332,card_present
7333,card_present
7338,card_present
7339,card_present
7342,card_present
7349,card_present
7361,card_present
7372,card_present
7375,card_present
7379,card_present
7392,card_present
7393,card_present
7394,card_present
7395,card_present
7399,card_present
7511,card_present
7512,card_present
7513,card_present
7519,card_present
7523,card_present
7531,card_present
7534,card_present
7535,card_present
7538,card_present
7542,card_present
7549,card_present
7622,card_present
7623,card_present
7629,card_present
7631,card_present
7641,card_present
7692,card_present
7699,card_present
7800,card_present
7801,card_present
7802,card_present
7829,card_present
7832,card_present
7841,card_present
7911,card_present
7922,card_present
7929,card_present
7932,card_present
7933,card_present
7941,card_present
7991,card_present
7992,card_present
7993,card_present
7994,card_present
7995,card_present
7996,card_present
7997,card_present
7998,card_present
7999,card_present
8011,card_present
8021,card_present
8031,card_present
8041,card_present
8042,card_present
8043,card_present
8044,card_present
8049,card_present
8050,card_present
8062,card_present
8071,card_present
8099,card_present
8111,card_present
8211,card_present
8220,card_present
8241,card_present
8244,card_present
8249,card_present
8299,card_present
8351,card_present
8398,card_present
8641,card_present
8651,card_present
8661,card_present
8675,card_present
8699,card_present
8734,card_present
8911,card_present
8931,card_present
8999,card_present
9211,card_present
9222,card_present
9223,card_present
9311,card_present
9399,card_present
9402,card_present
9405,card_present
9700,card_present
9701,card_present
9702,card_present
9950,card_present
